Name;Station;Time(norwegian mean time);Snow depth
Hornsund;SN99754;19.11.1997;12
Hornsund;SN99754;21.11.1997;11
Hornsund;SN99754;22.11.1997;11
Hornsund;SN99754;23.11.1997;11
Hornsund;SN99754;25.11.1997;13
Hornsund;SN99754;26.11.1997;14
Hornsund;SN99754;27.11.1997;18
Hornsund;SN99754;28.11.1997;12
Hornsund;SN99754;29.11.1997;12
Hornsund;SN99754;30.11.1997;14
Hornsund;SN99754;01.12.1997;14
Hornsund;SN99754;02.12.1997;15
Hornsund;SN99754;03.12.1997;15
Hornsund;SN99754;04.12.1997;15
Hornsund;SN99754;05.12.1997;25
Hornsund;SN99754;06.12.1997;20
Hornsund;SN99754;07.12.1997;18
Hornsund;SN99754;08.12.1997;18
Hornsund;SN99754;09.12.1997;30
Hornsund;SN99754;10.12.1997;35
Hornsund;SN99754;11.12.1997;25
Hornsund;SN99754;12.12.1997;20
Hornsund;SN99754;13.12.1997;24
Hornsund;SN99754;14.12.1997;20
Hornsund;SN99754;15.12.1997;20
Hornsund;SN99754;16.12.1997;24
Hornsund;SN99754;17.12.1997;28
Hornsund;SN99754;18.12.1997;25
Hornsund;SN99754;19.12.1997;25
Hornsund;SN99754;20.12.1997;25
Hornsund;SN99754;21.12.1997;34
Hornsund;SN99754;22.12.1997;35
Hornsund;SN99754;23.12.1997;32
Hornsund;SN99754;24.12.1997;30
Hornsund;SN99754;25.12.1997;30
Hornsund;SN99754;26.12.1997;30
Hornsund;SN99754;27.12.1997;32
Hornsund;SN99754;28.12.1997;30
Hornsund;SN99754;29.12.1997;30
Hornsund;SN99754;30.12.1997;40
Hornsund;SN99754;31.12.1997;43
Hornsund;SN99754;01.01.1998;43
Hornsund;SN99754;02.01.1998;42
Hornsund;SN99754;03.01.1998;30
Hornsund;SN99754;05.01.1998;30
Hornsund;SN99754;06.01.1998;32
Hornsund;SN99754;07.01.1998;50
Hornsund;SN99754;08.01.1998;56
Hornsund;SN99754;09.01.1998;56
Hornsund;SN99754;10.01.1998;52
Hornsund;SN99754;11.01.1998;50
Hornsund;SN99754;12.01.1998;48
Hornsund;SN99754;13.01.1998;48
Hornsund;SN99754;14.01.1998;48
Hornsund;SN99754;15.01.1998;48
Hornsund;SN99754;16.01.1998;48
Hornsund;SN99754;17.01.1998;47
Hornsund;SN99754;18.01.1998;46
Hornsund;SN99754;19.01.1998;46
Hornsund;SN99754;20.01.1998;48
Hornsund;SN99754;21.01.1998;55
Hornsund;SN99754;22.01.1998;48
Hornsund;SN99754;23.01.1998;48
Hornsund;SN99754;24.01.1998;48
Hornsund;SN99754;25.01.1998;47
Hornsund;SN99754;26.01.1998;47
Hornsund;SN99754;27.01.1998;47
Hornsund;SN99754;28.01.1998;47
Hornsund;SN99754;29.01.1998;47
